,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,r,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.15404308931652289,0.020228833315740852,0.00021725156155491524,0.00020411915962464572,0.00020259056103607542,0.00020857410067240395,0.0001996663182767598,0.00020382859021153904,0.00020563838303187137,0.00021510248935477705,0.00021115961471430348,0.00019934834126777618,0.00020762306214461035,0.00021454635004034063,0.0002149941590537504,0.0002054999738305177,0.00020493416616324716,0.0002086983053586358,0.00021560420912859684,0.0001877992936642025,0.00020051184295600044,0.00020698417878818747
1,0.0,1.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.00010626653946697595,0.15404308931652289,0.020228833315740852,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595
2,0.0,2.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.00010626653946697595,0.15404308931652289,0.020228833315740852,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595,0.00010626653946697595
3,1.0,0.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.18192469077263157,0.026658841039196444,0.00019797422334894664,0.0001937139259570133,0.0002074896874100116,0.00019866442986328498,0.00018859380033120165,0.0002006937112606707,0.00019423530290544014,0.00018863281700532333,0.00019355212720744474,0.00019029585055537073,0.00019171982443069922,0.00019077593173568596,0.00020122653899157404,0.00018525883051336822,0.00021043604456921682,0.0002127096615550444,0.00020300744390290798,0.0001944335501218331,0.00019594604835101626,0.00021261106296920857
4,1.0,1.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.852850547747268e-05,0.18192469077263157,0.026658841039196444,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05
5,1.0,2.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.852850547747268e-05,0.18192469077263157,0.026658841039196444,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05,9.852850547747268e-05
6,0.0,0.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.09891280918566822,0.020368965712120962,0.00021341145566124254,0.00020242161539517107,0.00019263916781141,0.00020039480478698993,0.00020679933657129134,0.00019993266728028712,0.0002083593196492137,0.00020161133479259868,0.000183186054361157,0.00020660756414472395,0.00019338996779652562,0.00020068225302609383,0.00021035592532498248,0.0002056510710031267,0.0002184670096460174,0.0002021702068125885,0.00020682496166094606,0.00020027768837522914,0.0001918292696108162,0.0002017792232314732
7,0.0,1.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.00010369244742806607,0.09891280918566822,0.020368965712120962,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607
8,0.0,2.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.00010369244742806607,0.09891280918566822,0.020368965712120962,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607,0.00010369244742806607
9,1.0,0.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.10567503387172666,0.029596186450273884,0.00020203313220807067,0.00018419445348048102,0.0002097731875914951,0.00019705580038486593,0.0001828038814366195,0.00019039843876248478,0.00019993654113287324,0.00020050033678346025,0.00020291039638400032,0.00020911730819861762,0.0001938646339378274,0.00018949415864074728,0.00019888399227629644,0.00019804437497751635,0.00019939914637655148,0.00019736750434813438,0.0001969753627708306,0.00020609322769257944,0.00020338132867687829,0.00019462096949701617
10,1.0,1.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.808810446654707e-05,0.10567503387172666,0.029596186450273884,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05
11,1.0,2.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.808810446654707e-05,0.10567503387172666,0.029596186450273884,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05,9.808810446654707e-05
12,0.0,0.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.0,0.016246636645507323,0.014811648697295832,0.0001962695115930487,0.00019854445723928744,0.0001874980073191015,0.00020053636954680472,0.00020378927321014603,0.0002043981730870963,0.00020271393081615607,0.00019611209606903987,0.0001894346364313866,0.00019526503249537664,0.00020127080944165533,0.00018999361243737675,0.00021069256469080766,0.00020526928852456413,0.00020479429412811927,0.00019440771452295096,0.00019252255032662445,0.00019975681511449979,0.0001962507752467237,0.00019689229458155126
13,0.0,1.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.00010159061741779061,0.016246636645507323,0.014811648697295832,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061
14,0.0,2.0,ER,2.0,0.01,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.00010159061741779061,0.016246636645507323,0.014811648697295832,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061,0.00010159061741779061
